// Source: http://www.kongregate.com/forums/65-tyrant/topics/220972-sim-batch-eval-decks?page=1#posts-4769301
ACE:Atlas,Earthquake Generator,Earthquake Generator,Earthquake Generator,Colossus,Colossus,Colossus,Electromagnetic Pulse,Apollo,Electromagnetic Pulse,Dozer Tank
AZR Jam:Dracorex,Azure Reaper,Azure Reaper,Azure Reaper,Azure Reaper,Azure Reaper,Gatling Tower,Dozer Tank,Stealthy Niaq,Gatling Tower,Gatling Tower
AZR Spam I:Dracorex,Azure Reaper,Azure Reaper,Azure Reaper,Azure Reaper,Azure Reaper,Beetle Bomber,Apollo,Azure Reaper,Rifter,Stealthy Niaq
AZR Spam II:Vyander,Azure Reaper,Azure Reaper,Azure Reaper,Azure Reaper,Azure Reaper,Stealthy Niaq,Daemon,Apollo,Rifter,Predator
Avatars		:Empress,Avatar(4),Adytum(4),Bridge of Destiny,Pantheon
Atlas Multi I:Atlas,Azure Reaper,Electromagnetic Pulse,Titan,Stealthy Niaq,Dozer Tank,Predator,Rifter,Fighter Jet,Omega,Tiamat
Atlas Multi II:Atlas,Dozer Tank,Apollo,Azure Reaper,Azure Reaper,Stealthy Niaq,Beetle Bomber,Predator,bulldozer,Electromagnetic Pulse,Tiamat
BT Rush:Lord of Tartarus,Hatchet,Hatchet,Ravenous Dredge,Shapeshifter,Venomous Raptor,Brawler,Razogoth's Heir,Asylum,Asylum,Asylum
Balanced Strike:Atlas,Tiamat,Predator,Omega,Ravenous Dredge,Stealthy Niaq,Azure Reaper,Hierophant,Elusive Panzer,Sharpshooter,T-46 Leonidas
Berserkers	:Dracorex,Support Carrier,Support Carrier,Support Carrier,Support Carrier,Support Carrier,Apollo,Gorivore,Elemental,Abominable Horror,Abominable Horror
Blood Wall	:Dracorex,BullDozer,Missile Silo,Missile Silo,Missile Silo,Gatling Tower,Gatling Tower,Gatling Tower,Blood Wall,Blood Wall,Blood Wall
Bloodthirsty Rush I:Lord of Tartarus,Hatchet,Hatchet,Hatchet,Hatchet,Sulfuris Sentry,Asylum,Asylum,Asylum,Asylum,Venomous Raptor
Bloodthirsty Rush II:Lord of Tartarus,Hatchet,Hatchet,Hatchet,Hovering Pest,Annelid Mass,Asylum,Asylum,Asylum,Mortar Bunker,Annelid Mass
Brawlers:Lord of Tartarus,Malgoth,Brawler,Brawler,Brawler,Brawler,Brawler,Brawler,Brawler,Brawler,Brawler
Carrier I:Dracorex,Support Carrier,Support Carrier,Support Carrier,Support Carrier,Support Carrier,Apollo,Gorivore,Elemental,Stealthy Niaq,Azure Reaper
Carrier II:Dracorex,Support Carrier,Support Carrier,Support Carrier,Support Carrier,Support Carrier,Apollo,Gorivore,Elemental,Abominable Horror,Abominable Horror
Carriers	:Dracorex,Support Carrier,Support Carrier,Support Carrier,Support Carrier,Apollo,Gorivore,Elemental,Destructive Ram,Stealthy Niaq,Bridge of Destiny
Colossus I:Atlas,Colossus,Colossus,Colossus,Colossus,Missile Silo,Command Center,Dozer Tank,Command Center,Gatling Tower,Missile Silo
Colossus II:Yurich,Colossus,Colossus,Colossus,Colossus,Colossus,Bulldozer,Command Center,Command Center,Missile Silo,Dozer Tank
Counter Strike	:Atlas,Trident,Trident,Trident,Trident,Trident,Tiamat,Predator,Rifter,Dozer Tank,Electromagnetic Pulse
Counter Wall	:Atlas,BullDozer,Missile Silo,Missile Silo,Missile Silo,Gatling Tower,Gatling Tower,Gatling Tower,Fortified Cannons,Fortified Cannons,Command Center
Daemon Spam:Vyander,Daemon,Daemon,Daemon,Daemon,Daemon,Predator,Stealthy Niaq,Dominated Hatchlings,Xeno Mothership,Rifter
Daemons:Vyander,Daemon,Daemon,Daemon,Daemon,Daemon,Azure Reaper,Azure Reaper,Stealthy Niaq,Rifter,Predator
Draco Armor:Dracorex,Rifter,Metalhead,Apollo,Bolide Walker,Toxic Cannon,Pummeller,Bolster Xeno,Fortifier,Poseidon,Titan
Draco Evade I:Dracorex,Hierophant,Hierophant,Beetle Bomber,Apollo,Azure Reaper,Azure Reaper,Azure Reaper,Stealthy Niaq,Warehouse,Warehouse
Draco Evade II:Dracorex,Hierophant,Hierophant,Lance Rider,Razogoth's Heir,Azure Reaper,Azure Reaper,Stealthy Niaq,Warehouse,Warehouse,Warehouse
Draco Multi I:Dracorex,Bolide Walker,Poseidon,Aegis,Apollo,Pummeller,Azure Reaper,Metalhead,Rifter,Titan,Dozer Tank
Draco Multi II:Dracorex,Hierophant,Hierophant,Bulldozer,Apollo,Pummeller,Azure Reaper,Azure Reaper,Stealthy Niaq,Sharpshooter,Dozer Tank
Draco Multi III:Dracorex,Abominable Horror,Apollo,Bolide Walker,Pummeller,Azure Reaper,Rifter,Titan,Dozer Tank,Recurring Darkness,Poseidon
Enforcer Mechs:Freddie,Enforcer Mech,Enforcer Mech,Enforcer Mech,Enforcer Mech,Helios,Titan,Poseidon,Metalhead,Psycho,T-46 Leonidas
Fattest Fat	:Dracorex,Apollo,Kraken,Rumbler,Mech Aid,Titan,Xanadu,Bulldozer,Destructive Ram,Elemental,Solar Powerhouse
Fear Rush I:Lord of Tartarus,Intruder,Intruder,Mortar Bunker,Asylum,Beholder
Fear Rush II:Lord of Tartarus,Grim Specter,Grim Specter,Grim Specter,Grim Specter,Warehouse,Warehouse
Fear Rush III:Dracorex,Grim Specter,Grim Specter,Grim Specter,Grim Specter,Warehouse,Warehouse
Fear Rush IV:Lord of Tartarus,Grim Specter,Grim Specter,Grim Specter,Grim Specter,Asylum,Asylum
GS Fear:Dracorex,Grim Specter,Grim Specter,Grim Specter,Grim Specter,Warehouse,Warehouse
